idalumno|codigoCurso|serie|p1_1|p1_2|p2|p3|p4|p5|p6|p7|p8_1|p8_2|p8_3|p8_4|p8_5|p8_6|p8_7|p8_8|p8_9|p8_10|p9|p10_1|p10_2|p10_3|p11|p12|p13_1|p13_2|p13_3|p13_4|p13_5|p13_6|p13_7|p13_8|p13_9|p13_10|p14_1|p14_2|p14_3|p14_4|p14_5|p14_6|p14_7|p14_8|p15_1|p15_2|p15_3|p15_4|p15_5|p15_6|p15_7|p15_8|p16_1|p16_2|p16_3|p16_4|p16_5|p17|p18_1|p18_2|p18_3|p18_4|p18_5|p18_6|p18_7|p18_8|p18_9|p18_10|p18_11|p18_12|p18_13|p18_14|p18_15|p18_16|p18_17|p19_1|p19_2|p19_3|p19_4|p19_5|p19_6|p19_7|p20_1|p20_2|p20_3|p20_4|p20_5|p21_1|p21_2|p21_3|p21_4|p21_5|p21_6|p21_7|p21_8|p21_9|p21_10|p21_11|p21_12|p21_13|p22_1|p22_2|p22_3|p22_4|p22_5|p22_6|p23_1|p23_2|p23_3|p23_4|p23_5|p24_1|p24_2|p24_3|p24_4|p24_5|p24_6|p24_7|p25_1|p25_2|p25_3|p25_4|p25_5|p26_1|p26_2|p26_3|p26_4|p27_1|p27_2|p27_3|p27_4|p27_5|p27_6|p27_7|p27_8|p27_9|p28_1|p28_2|p28_3|p28_4
1295|533|8019844|1|1978|2|5|1|1|1|1|0|0|99|0|99|0|99|0|0|0|1|2|2|3|4|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|2|2|2|3|3|1|2|1|3|2|3|1|1|4|2|4|4|3|3|4|4|4|3|3|1|3|3|3|1|1|4|4|3|2|2|1|2|1|1|2|2|3|3|3|3|1|4|2|3|4|3|3|4|1|4|4|4|4|4|4|4|1|1|4|1|4|1|1|2|1|4|2|2|1|4|2|2|2|2|2|2|2|2|2|3|1|4|1
1296|534|8019849|7|1971|2|3|1|1|1|0|0|0|0|0|0|0|0|0|1|0|1|3|2|3|3|1|1|0|1|1|1|1|2|1|1|1|3|2|1|1|1|1|2|1|1|1|1|2|1|2|1|3|4|3|4|4|4|2|4|2|4|3|4|3|2|3|3|3|4|4|3|4|4|4|3|4|1|4|1|4|1|1|4|4|4|3|3|3|3|3|1|3|3|3|3|2|3|2|2|3|2|3|2|2|2|3|4|4|4|3|3|4|4|1|1|4|1|2|2|2|2|2|4|2|2|2|4|2|2|2|2|2|2|2|2|2|4|2|1|1
1297|534|8019850|6|1995|2|3|4|1|1|0|0|0|0|0|0|0|0|1|0|0|1|2|0|4|3|2|3|2|1|3|1|1|3|2|2|2|1|1|1|2|2|1|2|1|1|2|1|2|1|2|1|2|3|3|4|4|4|4|3|2|3|4|4|4|3|4|4|4|4|3|3|4|4|4|4|4|1|4|1|3|1|1|3|2|3|3|3|3|3|3|1|3|2|1|1|1|2|1|2|2|3|4|3|3|4|1|4|4|4|4|4|4|4|1|1|1|1|1|2|1|1|1|4|1|1|1|4|2|2|1|2|2|2|2|2|2|3|1|2|1
1301|534|8019854|6|1979|2|2|1|1|1|1|0|0|1|0|2|0|0|0|0|0|2|3|0|3|2|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|2|2|3|4|3|1|1|2|1|3|1|1|1|1|1|1|4|4|3|4|4|4|0|0|0|0|0|0|0|3|3|3|3|3|1|2|2|1|3|2|3|3|2|2|3|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|2|1|1|1|4|2|2|2|2|2|2|2|2|2|4|2|3|1
1304|534|8019857|7|1974|2|2|1|1|1|1|0|0|2|0|1|0|0|0|0|0|2|2|1|4|1|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|1|4|1|3|3|3|1|4|2|3|1|1|3|3|3|3|3|4|3|3|3|2|2|1|3|2|3|1|2|3|3|3|2|3|2|1|2|1|2|1|3|2|1|3|3|3|2|3|3|2|3|3|3|4|4|4|3|4|4|4|1|1|4|1|2|1|1|1|3|4|1|1|1|4|2|2|2|2|2|2|2|2|2|3|1|1|1
1305|534|8019858|12|1971|2|5|1|1|1|0|0|0|0|0|0|1|0|0|0|0|1|2|2|4|3|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|3|1|4|4|3|3|2|3|3|3|1|3|3|3|3|3|4|4|4|4|4|3|3|1|3|2|3|1|1|3|3|3|3|3|2|2|3|1|3|3|3|3|3|4|3|4|4|2|4|4|3|4|4|4|4|4|4|4|4|4|1|1|4|1|1|3|3|2|3|4|2|2|2|4|2|2|2|2|2|2|2|2|2|3|2|2|2
1306|534|8019859|9|1977|2|3|1|1|1|1|0|0|0|0|0|0|0|0|1|2|1|3|0|4|3|1|1|1|1|1|1|1|1|1|1|1|3|1|1|3|2|2|1|1|1|1|1|2|2|1|1|1|4|4|2|4|4|1|2|1|4|3|3|2|3|4|3|3|2|3|3|4|4|4|3|3|1|4|1|3|1|3|3|3|3|3|3|1|2|2|1|2|2|2|2|2|3|2|2|2|3|4|4|3|3|4|4|4|4|4|4|4|4|1|1|4|1|1|1|2|1|1|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|1|1
1307|534|8019860|3|1982|2|1|1|1|1|1|0|0|0|0|1|0|2|0|0|0|1|2|1|3|2|2|1|1|1|1|1|1|1|1|1|1|2|2|1|1|1|1|1|1|1|1|1|1|2|1|1|1|4|4|3|3|3|3|3|2|3|3|3|2|2|3|2|4|3|3|3|4|4|4|3|3|2|3|2|2|1|2|3|3|4|3|3|2|1|2|1|2|1|2|2|1|2|2|2|2|3|3|3|3|3|3|4|4|4|3|4|4|4|1|1|4|1|2|1|2|2|2|4|1|1|1|4|2|2|2|2|2|2|2|2|2|3|2|2|2
1309|534|8019862|9|1974|1|1|1|1|1|1|0|0|0|0|0|0|0|0|99|0|1|2|2|4|4|1|1|3|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|3|1|4|4|4|4|4|4|4|4|1|2|3|4|4|4|3|4|4|4|4|1|4|1|4|1|2|1|1|4|4|4|4|2|1|1|1|1|3|1|4|4|3|3|3|1|3|4|4|3|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|3|3|3|2|4|3|1|3|4|2|2|2|2|2|2|2|2|2|4|1|1|2
1310|534|8019863|12|1981|2|1|3|1|1|1|0|0|0|0|0|0|0|0|99|0|1|4|2|4|3|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3|4|4|4|4|2|4|1|4|3|4|1|1|3|3|3|4|4|4|4|4|4|3|3|1|3|1|3|1|1|4|3|4|4|3|2|2|2|1|3|3|2|3|1|3|3|3|2|4|4|3|3|3|4|4|4|3|3|4|4|4|1|1|4|1|3|2|2|3|2|4|3|2|2|1|2|2|2|1|2|2|2|2|2|2|1|3|1
1313|534|8019866|11|1979|2|1|3|1|1|1|0|0|0|2|0|0|0|0|1|0|1|3|1|4|3|1|1|3|3|3|1|3|3|3|1|1|3|3|1|1|1|1|1|1|3|2|1|3|1|1|1|3|4|3|3|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|4|2|4|2|4|1|1|4|4|4|4|4|3|3|3|4|3|3|3|3|3|3|3|3|3|4|4|4|4|4|2|4|4|4|4|4|4|4|1|1|4|1|3|3|2|3|2|3|3|2|2|3|2|2|2|2|2|2|2|2|2|1|1|3|1
1314|534|8019867|7|1981|2|1|1|1|1|1|0|0|0|0|0|0|99|0|0|0|1|2|2|4|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|1|1|2|4|3|3|1|4|3|3|2|2|3|3|3|3|3|3|4|4|4|4|3|2|4|1|3|1|2|3|3|3|3|3|3|3|4|2|3|3|4|3|3|3|2|2|3|3|4|4|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|1|1|1|2|4|3|1|1|3|2|2|2|2|2|2|2|2|2|3|1|1|1
1315|534|8019868|1|1982|2|1|5|1|1|1|0|99|0|0|0|0|0|0|0|0|2|2|2|2|3|2|1|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|1|1|1|1|1|2|2|1|1|3|4|3|2|2|2|3|4|3|4|2|3|1|99|2|3|3|4|4|4|3|3|4|3|3|2|3|3|0|2|4|3|3|4|3|3|2|2|4|2|2|2|4|2|2|3|3|3|3|4|4|4|4|4|2|3|3|4|3|3|3|3|2|3|4|2|2|3|3|3|3|3|2|2|2|3|2|2|2|2|2|2|2|2|2|2|3|2|2
1316|534|8019869|11|1974|2|1|1|1|1|1|0|0|0|0|0|0|0|0|99|0|1|4|4|4|5|1|1|1|1|1|1|1|1|1|1|1|2|2|0|0|0|0|0|0|1|1|1|1|1|1|1|2|3|4|2|2|1|3|3|1|4|2|2|1|1|3|3|3|4|4|3|3|4|3|3|4|1|4|1|4|1|1|3|2|4|3|3|1|2|2|1|2|1|3|2|2|1|1|1|1|4|4|4|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|2|2|2|1|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|1|1
1317|534|8019870|9|1900|2|1|3|1|1|1|0|0|0|0|0|0|0|0|99|0|1|4|3|4|3|1|2|1|1|1|2|1|1|1|2|2|2|1|1|1|1|1|1|2|1|1|1|1|1|1|1|2|4|3|2|4|3|3|2|2|3|3|3|1|3|3|3|3|2|3|3|3|3|3|2|3|2|4|2|3|1|1|4|3|3|3|3|2|2|2|2|4|2|3|3|3|3|3|3|3|2|4|2|2|4|2|4|4|4|2|3|4|4|1|1|4|1|3|2|2|2|2|3|3|2|2|3|2|2|2|2|2|2|2|2|2|2|2|2|2
1318|534|8019871|10|1975|1|1|1|1|1|1|0|0|0|0|0|0|2|0|1|0|1|2|2|4|1|1|1|3|1|1|1|1|2|1|1|1|1|2|1|1|2|2|99|2|1|1|1|2|2|1|1|1|4|1|3|4|4|2|4|1|4|3|4|1|2|4|4|4|4|4|4|4|4|4|4|4|2|4|2|4|2|1|4|3|4|4|4|2|2|3|2|4|3|4|1|4|3|2|4|1|4|4|4|3|4|3|4|4|4|4|4|4|4|1|1|4|1|1|4|1|2|2|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|4|1
1319|534|8019872|12|1964|2|2|1|1|1|1|0|0|0|0|99|0|0|0|0|0|1|3|1|4|4|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|2|1|1|1|1|1|1|2|1|1|4|3|2|4|4|1|2|1|4|2|3|1|1|3|1|3|4|3|4|4|4|4|3|3|1|3|2|3|1|1|3|3|4|4|4|2|3|2|1|3|2|4|4|3|4|4|4|3|3|4|3|3|4|2|4|4|4|4|4|4|4|1|1|4|1|4|3|3|3|3|4|2|0|2|4|2|2|2|2|2|2|2|2|2|3|2|2|1
1320|534|8019873|2|1970|1|1|1|1|1|1|0|0|0|0|0|0|2|0|1|0|1|3|3|3|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|3|3|2|3|4|1|3|3|4|2|3|3|3|3|3|4|4|3|3|3|3|4|2|3|2|3|2|2|3|3|4|3|3|3|2|2|1|2|3|3|3|2|3|3|3|3|3|3|3|3|3|3|3|3|3|3|3|4|4|1|1|4|1|1|2|2|2|2|3|2|2|2|3|2|2|2|2|2|2|2|2|2|3|2|2|2
1322|534|8019875|999|999|1|1|1|1|1|1|0|0|0|0|0|0|0|0|99|0|1|4|2|4|1|1|3|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|3|1|1|1|2|4|4|2|2|4|2|4|2|3|4|4|3|3|3|4|4|2|4|4|4|4|3|2|4|1|4|1|3|1|1|3|2|3|2|4|1|2|3|2|3|3|3|2|2|4|3|2|3|2|4|4|0|4|4|4|4|4|4|4|4|4|2|1|4|1|4|2|3|3|2|4|0|1|1|0|2|2|2|2|2|2|1|2|2|4|1|4|1
1323|534|8019876|5|1961|1|1|9|1|1|1|0|0|0|0|0|0|0|0|99|0|1|3|1|4|4|1|2|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1|2|1|1|1|1|1|3|4|4|2|2|2|3|1|1|2|2|2|1|2|2|2|2|2|2|3|3|3|3|2|3|1|3|1|3|1|1|3|3|3|3|3|2|2|2|1|1|1|2|2|2|3|3|3|4|4|4|4|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|2|3|2|2|4|0|1|1|4|1|2|2|2|2|2|2|2|2|3|1|2|2
1324|534|8019877|5|1965|1|6|1|1|1|1|0|0|0|0|2|0|1|0|0|0|1|2|0|3|3|1|2|2|1|1|2|2|3|3|1|1|3|3|2|2|2|2|2|2|3|3|3|3|1|1|2|3|4|4|4|4|4|4|4|3|3|3|3|3|4|4|4|4|3|3|3|3|3|3|4|4|1|4|2|4|1|1|4|4|4|4|4|3|3|3|3|2|2|3|2|4|4|3|3|4|4|4|4|4|4|1|4|4|4|4|4|4|4|1|1|4|1|1|3|2|2|2|4|2|2|2|4|2|2|2|2|2|2|2|2|2|4|2|2|1
1325|534|8019878|7|1974|2|1|1|1|1|1|0|0|1|0|2|0|0|0|0|0|1|2|1|4|1|2|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|3|1|1|1|1|3|1|1|1|4|4|4|2|4|1|3|1|4|1|2|1|99|0|3|3|3|2|4|3|4|3|2|1|1|3|1|1|1|1|3|3|3|4|2|1|1|1|1|2|2|2|2|3|2|2|2|1|1|3|2|0|3|3|4|4|3|1|2|4|4|1|1|4|1|4|0|0|0|0|0|0|0|0|0|2|2|2|2|2|2|2|2|2|4|3|2|1
1327|534|8019880|6|1974|2|1|1|1|1|1|0|0|0|0|0|0|0|0|99|0|1|3|3|4|5|1|3|3|3|1|2|3|1|3|1|1|2|2|1|1|3|3|2|2|3|2|2|3|2|3|1|3|3|3|3|4|3|2|4|2|4|4|3|3|3|4|3|2|3|2|3|3|4|4|3|4|1|4|1|3|1|1|4|4|4|4|4|2|2|3|2|2|2|3|1|3|4|3|4|2|3|4|4|3|4|2|4|4|4|4|4|4|4|1|1|4|1|1|2|2|3|2|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|2|2|1
1330|534|8019883|1|1986|2|3|1|1|1|1|0|0|0|2|0|0|1|0|0|0|1|2|1|3|2|2|1|1|1|1|1|1|1|1|1|1|2|1|1|3|1|1|1|1|1|2|1|2|2|1|1|1|4|4|3|3|4|1|2|2|3|3|2|2|2|3|3|3|3|3|3|3|3|3|3|3|1|3|2|3|2|3|3|3|3|3|3|2|1|2|1|2|2|2|2|2|3|2|2|2|2|4|3|2|3|3|3|3|3|3|3|4|4|1|1|4|1|2|3|2|2|2|3|1|1|1|4|2|2|2|2|2|2|2|2|2|3|3|3|2
1331|534|8019884|11|1979|2|1|1|1|1|1|0|0|0|0|0|0|0|0|99|0|1|0|3|4|4|2|2|2|1|1|2|1|1|1|1|1|3|3|1|1|1|1|2|1|1|1|1|2|1|1|1|1|4|3|2|3|4|1|4|2|4|3|3|1|3|3|2|3|4|4|4|4|4|3|2|4|3|4|3|3|1|1|4|4|4|4|4|1|1|1|1|3|2|3|3|2|2|2|2|2|4|4|4|3|4|2|4|4|4|4|4|4|4|1|1|4|1|1|2|1|1|2|4|4|1|1|4|2|2|2|1|2|2|2|2|2|3|3|4|2
1335|534|8019888|2|1966|1|1|1|1|1|1|0|0|0|0|2|0|0|1|0|0|1|4|1|4|4|1|3|1|1|2|0|1|2|1|1|1|3|3|1|3|2|3|2|2|1|1|1|3|3|3|1|3|4|4|3|3|4|2|4|1|4|4|4|2|2|4|2|3|4|4|4|4|4|4|2|3|2|4|2|3|1|1|4|4|4|3|2|2|1|2|1|3|3|2|3|2|3|2|3|3|3|4|4|4|4|3|4|4|4|4|4|4|4|1|1|4|1|1|3|1|2|2|4|3|1|1|4|2|2|2|2|2|2|2|2|2|4|1|4|1
1336|534|8019889|9|1969|1|1|4|1|1|1|0|0|0|0|0|0|0|0|99|0|1|4|3|4|3|1|1|1|1|1|1|1|3|2|1|1|1|3|1|1|2|1|1|1|3|1|1|1|1|1|1|1|4|4|4|4|4|2|4|1|4|3|3|2|3|3|3|3|4|4|3|3|4|4|2|4|1|4|1|2|1|1|4|4|3|3|4|2|3|2|1|2|2|2|2|3|3|3|3|2|3|4|3|3|3|3|4|4|4|3|4|4|4|1|1|4|1|1|2|2|2|3|4|3|1|1|3|2|2|2|2|2|2|2|2|2|4|1|2|1
1338|534|8019891|11|1962|1|1|1|1|1|1|0|0|0|0|0|0|2|0|0|1|1|4|1|4|5|1|3|3|3|3|2|3|3|3|1|1|3|1|1|1|3|3|2|1|3|1|1|3|1|3|1|3|4|4|4|4|4|2|4|3|4|4|3|4|3|4|3|3|4|4|4|4|4|4|4|4|4|4|1|4|1|1|1|2|1|2|1|1|2|1|1|1|4|3|4|1|2|2|2|3|2|4|4|1|4|2|4|4|3|4|4|4|4|2|2|4|2|4|1|1|1|1|4|4|4|4|4|2|1|2|2|2|2|2|2|2|3|1|4|1
1339|534|8019892|3|1967|1|2|1|1|1|1|0|0|0|0|2|0|0|0|1|0|1|3|2|4|2|2|2|3|1|1|1|1|1|1|1|1|1|3|1|1|1|1|1|2|2|1|1|1|2|1|1|1|4|4|4|4|1|4|3|1|4|3|4|2|3|4|4|4|2|3|4|4|4|4|3|3|2|4|2|3|1|1|4|4|4|3|3|3|3|3|2|3|3|3|2|3|3|3|3|3|4|4|4|4|4|2|4|4|4|4|4|4|4|1|1|4|1|1|2|2|3|2|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|3|3|1
1340|534|8019893|2|1975|2|4|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|2|2|1|1|1|1|1|1|1|1|1|1|1|2|2|2|2|2|0|2|2|1|1|1|2|2|1|1|1|3|3|4|4|1|2|3|1|3|3|3|2|1|3|1|3|3|3|3|3|3|3|3|3|2|3|3|3|3|3|3|3|3|3|3|1|1|1|1|1|1|2|1|1|2|1|2|1|3|3|3|3|3|2|3|3|3|3|3|3|3|2|1|4|1|1|3|2|2|0|3|1|1|1|3|2|2|2|2|2|2|2|2|2|3|3|2|1
1341|534|8019894|1|1971|2|4|4|1|1|0|0|0|0|0|0|0|0|0|0|1|1|3|2|3|3|1|3|1|2|1|2|3|3|1|1|1|1|2|1|3|3|1|3|2|3|1|1|2|2|3|1|1|4|4|4|4|4|4|4|3|4|4|3|2|2|3|4|4|4|3|4|4|4|4|4|3|1|4|1|3|1|1|3|3|4|4|3|2|2|2|2|3|2|3|3|2|3|2|3|3|4|4|4|4|4|3|4|4|4|2|4|4|4|1|1|4|1|3|2|2|2|1|4|1|1|1|4|2|2|2|2|2|2|2|2|2|4|1|2|1
